"EventId","DER_mass_MMC","DER_mass_transverse_met_lep","DER_mass_vis","DER_pt_h","DER_deltaeta_jet_jet","DER_mass_jet_jet","DER_prodeta_jet_jet","DER_deltar_tau_lep","DER_pt_tot","DER_sum_pt","DER_pt_ratio_lep_tau","DER_met_phi_centrality","DER_lep_eta_centrality","PRI_tau_pt","PRI_tau_eta","PRI_tau_phi","PRI_lep_pt","PRI_lep_eta","PRI_lep_phi","PRI_met","PRI_met_phi","PRI_met_sumet","PRI_jet_num","PRI_jet_leading_pt","PRI_jet_leading_eta","PRI_jet_leading_phi","PRI_jet_subleading_pt","PRI_jet_subleading_eta","PRI_jet_subleading_phi","PRI_jet_all_pt","Label"
100681,137.8,47.98,86.292,24.21,-999,-999,-999,3.167,24.21,79.478,1.74,-1.414,-999,29.01,0.241,1.321,50.468,1.248,-1.681,19.717,2.874,163.061,0,-999,-999,-999,-999,-999,-999,0,"s"
100776,85.318,4.069,58.15,23.553,-999,-999,-999,3.184,23.553,55.222,1.18,1.41,-999,25.327,-0.51,-1.104,29.895,-1.179,2.009,18.917,1.837,94.265,0,-999,-999,-999,-999,-999,-999,0,"b"
100790,117.26,98.1,101.206,95.071,-999,-999,-999,1.42,7.854,252.58,0.829,-1.088,-999,85.197,-0.117,3.103,70.652,-0.056,-1.762,34.123,1.29,246.315,1,96.731,-1.499,0.277,-999,-999,-999,96.731,"b"
100812,138.074,9.651,90.873,54.181,-999,-999,-999,2.274,28.158,144.662,0.394,0.314,-999,77.578,-0.602,-2.21,30.548,-1.134,0.001,24.94,0.352,258.012,1,36.536,0.056,2.211,-999,-999,-999,36.536,"s"
100826,107.639,57.242,78.234,2.464,-999,-999,-999,2.836,28.147,107.126,1.455,-1.377,-999,31.237,0.151,2.004,45.463,-0.51,-1.521,19.209,1.117,112.192,1,30.426,2.474,0.292,-999,-999,-999,30.426,"s"
100948,96.167,52.712,67.529,41.632,4.698,479.137,-5.134,2.879,4.751,161.672,0.659,1.004,0.556,41.718,-2.201,-1.02,27.486,-2.417,1.851,25.744,-1.019,243.177,2,54.632,-2.967,1.648,37.836,1.73,-2.388,92.468,"b"
100978,90.253,15.932,66.861,5.542,-999,-999,-999,3.057,5.542,64.818,0.826,-1.414,-999,35.506,1.341,2.845,29.312,1.891,-0.163,4.664,-1.662,130.908,0,-999,-999,-999,-999,-999,-999,0,"s"
101177,117.947,21.131,87.621,35.755,-999,-999,-999,3.12,0.853,124.693,1.493,1.414,-999,35.676,0.416,-1.467,53.273,0.614,1.646,19.818,0.984,90.522,1,35.744,0.897,-1.849,-999,-999,-999,35.744,"b"
101267,117.293,39.697,86.293,54.783,-999,-999,-999,2.435,0.879,147.586,1.734,1.41,-999,33.835,-0.491,-0.936,58.673,-1.044,1.435,16.622,0.058,155.649,1,55.079,2.436,-2.536,-999,-999,-999,55.079,"s"
101336,103.69,30.695,79.974,3.573,-999,-999,-999,2.957,3.573,69.208,0.895,-1.408,-999,36.529,0.909,2.972,32.678,-0.262,0.256,17.724,-1.127,136.157,0,-999,-999,-999,-999,-999,-999,0,"b"
101348,91.795,68.368,68.647,6.659,-999,-999,-999,2.816,6.659,72.764,1.892,-1.392,-999,25.164,-0.708,0.742,47.599,-0.908,-2.732,26.755,-0.173,106.492,0,-999,-999,-999,-999,-999,-999,0,"b"
101499,96.926,79.956,81.956,41.827,-999,-999,-999,2.306,19.322,130.007,2.877,-1.396,-999,21.333,-0.042,2.536,61.368,-1.566,0.804,34.907,-1.281,150.673,1,47.306,-1.711,-2.982,-999,-999,-999,47.306,"b"
101529,122.902,2.928,61.595,119.104,5.38,868.068,-7.052,2.161,16.163,182.84,1.484,1.052,0.979,25.427,-1.094,-3.032,37.738,0.034,-1.189,84.758,-1.241,270.468,2,69.63,3.121,2.161,50.045,-2.26,1.076,119.675,"s"
101590,129.167,87.123,72.712,2.803,-999,-999,-999,3.005,2.803,76.969,2.468,-1.202,-999,22.195,-1.796,-1.681,54.774,-2.407,1.66,34.676,-1.421,113.532,0,-999,-999,-999,-999,-999,-999,0,"b"
101705,94.531,8.911,67.595,2.495,-999,-999,-999,3.035,2.495,64.996,0.676,-1.383,-999,38.789,-1.435,0.362,26.207,-0.723,-2.971,11.527,-2.452,132.252,0,-999,-999,-999,-999,-999,-999,0,"s"
101737,-999,90.632,171.302,2.279,-999,-999,-999,3.693,2.279,62.635,1.861,-1.341,-999,21.893,-1.753,-1.603,40.742,1.766,-0.482,52.005,2.306,52.503,0,-999,-999,-999,-999,-999,-999,0,"b"
101974,149.417,16.405,104.902,21.084,-999,-999,-999,2.917,11.657,135.867,0.917,1.405,-999,54.994,1.042,2.298,50.43,0.905,-1.071,12.293,-1.742,268.766,1,30.443,1.054,1.087,-999,-999,-999,30.443,"s"
101983,132.93,80.438,88.793,4.499,-999,-999,-999,3.026,4.499,77.674,1.944,-1.363,-999,26.383,-0.755,0.648,51.292,-2.07,-2.91,33.143,-0.212,88.133,0,-999,-999,-999,-999,-999,-999,0,"b"
101996,55.789,51.61,43.605,75.56,-999,-999,-999,1.073,2.154,156.454,1.914,-0.101,-999,28.16,-1.458,-3.044,53.896,-0.421,-2.766,18.65,-0.864,291.76,1,74.398,0.108,0.483,-999,-999,-999,74.398,"b"
102004,144.915,42.818,95.663,97.552,3.013,256.228,-1.622,2.422,20.626,229.295,0.34,1.397,0.997,84.822,1.462,2.411,28.815,0.894,-1.518,32.699,-3.061,302.445,2,72.662,2.312,-0.894,42.996,-0.702,0.858,115.658,"b"
102061,127.092,28.764,80.708,129.923,5.234,750.801,-6.849,1.668,1.38,229.983,0.751,1.414,0.926,56.534,1.797,1.039,42.474,0.699,2.295,49.512,1.657,335.078,2,100.931,2.589,-1.444,30.045,-2.645,-1.837,130.976,"s"
102131,131.186,31.388,88.875,162.16,1.588,170.61,0.875,1.934,17.707,342.28,3.299,1.289,0.992,28.863,-0.605,-0.796,95.21,-1.157,1.058,70.83,0.674,464.357,3,141.931,-0.433,-2.257,42.58,-2.021,2.65,218.207,"b"
102230,105.478,84.267,79.511,9.399,-999,-999,-999,2.714,9.399,81.323,1.851,-1.387,-999,28.523,-2.326,-2.433,52.8,-1.666,1.218,37.601,-1.261,177.66,0,-999,-999,-999,-999,-999,-999,0,"b"
102256,91.352,4.131,67.204,29.541,-999,-999,-999,3.006,29.541,58.852,1.708,0.042,-999,21.734,0.291,-3.019,37.118,1.535,0.527,11.966,0.331,126.643,0,-999,-999,-999,-999,-999,-999,0,"b"
102282,108.474,40.675,74.048,32.058,-999,-999,-999,3.155,1.955,81.855,1.233,1.352,-999,22.853,0.34,0.432,28.177,2.249,-2.08,20.569,-0.068,159.561,1,30.824,1.004,2.652,-999,-999,-999,30.824,"b"
102286,120.023,69.529,99.015,72.668,-999,-999,-999,1.828,1.738,188.837,0.492,-1.23,-999,78.39,-0.263,1.104,38.582,-1.463,-0.275,31.826,3.118,238.173,1,71.865,-0.252,-2.142,-999,-999,-999,71.865,"b"
102496,142.219,7.238,94.636,35.294,-999,-999,-999,3.063,14.916,123.59,1.215,-1.219,-999,40.857,-0.349,1.795,49.64,0.3,-1.495,26.585,-1.295,194.424,1,33.093,2.539,2.061,-999,-999,-999,33.093,"s"
102505,81.823,9.16,59.001,125.963,5.226,797.813,-6.621,1.42,62.511,241.668,3.609,1.411,0.42,20.361,0.616,-1.954,73.492,1.979,-2.352,33.486,-2.167,229.069,3,62.476,2.159,-0.263,54.711,-3.067,1.291,147.814,"b"
102565,107.443,9.882,63.995,54.961,-999,-999,-999,2.288,26.074,102.481,0.74,1.263,-999,40.849,-0.314,-1.386,30.213,-0.249,0.901,34.539,0.594,136.587,1,31.418,-0.653,-2.819,-999,-999,-999,31.418,"s"
102618,-999,63.255,60.995,0.251,-999,-999,-999,2.186,0.251,65.545,1.196,-1.408,-999,29.848,-1.646,1.313,35.697,-0.923,-2.908,34.186,-0.643,82.179,0,-999,-999,-999,-999,-999,-999,0,"b"
102642,84.431,73.587,61.618,26.439,-999,-999,-999,2.977,26.439,62.311,1.409,-1.106,-999,25.871,0.204,0.156,36.441,0.44,3.124,37.154,-0.04,209.826,0,-999,-999,-999,-999,-999,-999,0,"s"
102703,-999,81.631,73.346,38.24,-999,-999,-999,2.176,0.182,111.487,1.001,-1.343,-999,36.697,2.352,-2.993,36.722,1.219,1.433,74.083,-0.365,81.829,1,38.069,-0.578,-3.025,-999,-999,-999,38.069,"b"
102704,-999,57.233,55.993,0.192,-999,-999,-999,2.377,0.192,57.146,1.489,-1.389,-999,22.963,1.522,-1.774,34.183,2.383,0.442,27.543,2.845,32.823,0,-999,-999,-999,-999,-999,-999,0,"b"
102848,218.291,33.133,165.249,5.011,-999,-999,-999,4.672,5.011,54.253,1.163,-1.409,-999,25.084,1.524,1.266,29.169,-2.04,-1.756,10.22,1.957,114.651,0,-999,-999,-999,-999,-999,-999,0,"b"
102855,117.145,64.716,101.696,35.319,-999,-999,-999,3.499,0.534,97.851,0.92,-1.409,-999,32.838,-0.651,2.289,30.2,1.483,-0.485,43.968,-2.671,94.838,1,34.814,-0.381,0.261,-999,-999,-999,34.814,"s"
103026,89.12,48.177,67.065,26.252,-999,-999,-999,2.196,35.663,96.514,1.111,-1.234,-999,31.418,-0.164,2.957,34.919,-1.332,1.098,33.306,-0.47,251.916,1,30.177,-3.261,2.756,-999,-999,-999,30.177,"b"
103114,-999,71,66.245,54.605,7.019,1266.994,-12.163,3.433,24.294,128.479,1.483,1.414,0.851,20.491,0.558,0.499,30.385,-1.019,-2.55,56.676,-0.497,170.374,2,46.95,-3.118,2.269,30.653,3.9,2.435,77.603,"s"
103119,113.603,58.93,76.984,64.838,-999,-999,-999,2.345,46.899,118.78,0.599,0.436,-999,50.441,2.052,-2.974,30.219,1.228,1.114,31.858,-2.665,249.171,1,38.12,0.049,-0.859,-999,-999,-999,38.12,"s"
103148,117.913,35.741,90.15,24.333,-999,-999,-999,2.864,24.333,83.374,0.684,-1.39,-999,49.512,-0.178,1.47,33.862,-1.161,-1.22,10.529,2.579,210.081,0,-999,-999,-999,-999,-999,-999,0,"s"
103162,121.738,54.97,99.084,41.11,-999,-999,-999,3.103,36.651,163.888,0.52,-1.414,-999,56.977,2.373,-1.103,29.629,1.08,1.718,50.975,-2.994,200.34,1,77.281,-0.573,0.68,-999,-999,-999,77.281,"b"
103190,60.796,56.094,48.7,2.761,-999,-999,-999,2.303,2.761,54.869,1.725,-1.385,-999,20.138,-1.016,2.314,34.731,-0.748,-1.681,25.85,0.741,115.994,0,-999,-999,-999,-999,-999,-999,0,"b"
103217,316.271,123.044,229.683,20.653,3.616,354.842,-2.138,3.422,17.259,276.197,1.404,-1.41,0.22,67.807,0.639,3.097,95.232,-1.162,0.188,47.962,-2.1,312.333,2,59.458,-0.745,0.884,53.7,2.871,-2.251,113.158,"b"
103427,46.001,76.247,40.975,25.731,-999,-999,-999,1.351,25.731,65.163,1.969,-1.12,-999,21.945,-1.801,2.143,43.219,-0.957,-3.086,33.723,-0.05,155.041,0,-999,-999,-999,-999,-999,-999,0,"b"
103431,194.295,94.123,170.831,6.269,-999,-999,-999,2.849,6.269,153.509,1.21,-1.411,-999,69.462,-1.7,0.822,84.046,-0.637,-2.818,35.646,-0.749,123.405,0,-999,-999,-999,-999,-999,-999,0,"b"
103480,52.976,18.819,37.244,101.806,2.056,290.215,-0.793,0.97,15.241,337.422,1.701,0.515,0.55,30.419,0.521,-2.413,51.748,0.281,2.93,35.108,2.485,397.842,3,113.334,-1.541,-0.936,83.991,0.515,0.989,255.255,"b"
103485,130.988,60.354,99.418,22.962,-999,-999,-999,3.046,16.683,121.596,0.84,-1.406,-999,44.574,-1.718,-1.158,37.423,-0.376,2.391,29.906,0.142,104.638,1,39.599,-1.453,2.597,-999,-999,-999,39.599,"b"
103621,118.418,70.523,99.49,52.837,-999,-999,-999,2.455,7.09,114.241,2.085,-0.144,-999,22.188,1.171,-1.673,46.253,-1.27,-1.419,31.273,2.491,125.057,1,45.8,-0.835,1.197,-999,-999,-999,45.8,"b"
103684,147.682,20.03,70.14,151.586,-999,-999,-999,2.176,56.934,157.14,1.703,1.292,-999,23.098,1.587,2.504,39.336,-0.173,1.224,100.863,1.543,306.335,1,94.705,0.375,-1.534,-999,-999,-999,94.705,"b"
103827,124.934,3.214,56.845,250.803,3.98,1010.787,-3.827,1.038,30.143,417.275,0.807,0.955,1,62.574,-0.815,-3.078,50.481,-0.345,2.279,158.853,2.243,418.715,2,212.068,1.625,-0.445,92.152,-2.356,-1.31,304.22,"s"
103832,152.402,82.137,91.982,146.207,1.991,183.924,-0.587,2.365,26.699,292.352,0.298,0.967,0,89.434,2.051,-1.68,26.692,2.457,0.651,74.109,-1.703,358.038,3,92.29,-1.632,1.082,53.234,0.36,2.297,176.226,"b"
103920,106.932,5.769,59.691,60.121,2.177,127.174,-1.036,3.133,4.384,139.798,1.527,-0.652,0.621,21.227,1.417,-0.626,32.418,0.365,2.706,48.981,2.561,194.41,2,55.796,-1.474,0.029,30.357,0.702,-1.804,86.152,"s"
104039,98.947,7.418,75.232,26.446,-999,-999,-999,2.627,26.446,67.504,0.915,0.245,-999,35.249,0.346,-1.237,32.255,1.532,1.107,0.451,-1.562,209.634,0,-999,-999,-999,-999,-999,-999,0,"s"
104076,-999,62.416,158.331,2.876,-999,-999,-999,3.587,2.876,67.483,0.776,-1.407,-999,37.988,-2.228,-0.83,29.496,0.854,1.006,44.09,3.098,78.623,0,-999,-999,-999,-999,-999,-999,0,"b"
104240,90.962,77.979,69.673,43.128,-999,-999,-999,2.464,1.502,107.588,0.894,-1.165,-999,34.723,1.346,-0.159,31.026,2.437,2.05,49.333,-1.257,134.477,1,41.839,0.036,2.545,-999,-999,-999,41.839,"b"
104349,84.513,68.432,61.448,4.652,-999,-999,-999,2.611,4.652,65.038,2.123,-1.279,-999,20.823,-0.254,0.955,44.215,0.419,-1.568,27.026,1.86,78.654,0,-999,-999,-999,-999,-999,-999,0,"b"
104370,128.783,58.901,101.171,35.081,-999,-999,-999,2.377,5.499,129.518,1.022,-1.272,-999,49.213,-0.086,3.112,50.28,0.877,0.939,17.76,-1.862,192.574,1,30.025,3.309,-0.727,-999,-999,-999,30.025,"s"
104416,182.551,7.487,146.527,124.601,-999,-999,-999,1.914,21.472,269.992,0.769,0.6,-999,85.746,2.084,2.15,65.914,0.672,0.857,6.311,0.488,288.918,1,118.332,-0.156,-1.416,-999,-999,-999,118.332,"b"
104476,100.481,27.156,66.206,85.672,4.576,443.327,-3.538,1.895,6.03,168.692,0.851,1.414,0.534,40.366,0.485,-0.859,34.372,-0.508,0.756,33.864,-0.063,189.937,2,59.428,3.591,-2.97,34.527,-0.985,2.687,93.955,"s"
104595,128.385,59.72,91.961,93.985,0.433,95.305,0.003,2.486,2.115,237.357,2.599,1.412,0,29.549,0.58,0.716,76.805,1.006,-1.733,43.578,-0.649,246.22,2,74.623,-0.006,1.446,56.38,-0.439,2.962,131.003,"s"
104597,94.796,82.104,65.965,57.296,-999,-999,-999,2.323,4.887,123.837,1.678,0.514,-999,24.37,-0.982,2.355,40.901,0.18,-1.916,48.71,2.033,147.119,1,58.566,1.993,-0.482,-999,-999,-999,58.566,"b"
104604,167.007,96.128,86.792,31.339,-999,-999,-999,2.886,31.339,83.685,2.068,1.054,-999,27.276,-0.056,-2.023,56.409,-1.053,1.551,43.176,-2.048,156.694,0,-999,-999,-999,-999,-999,-999,0,"b"
104718,73.197,73.723,63.799,5.805,-999,-999,-999,2.336,50.436,104.759,1.876,-1.299,-999,20.837,-0.938,-1.873,39.093,-2.38,-0.035,36.228,2.701,123.333,1,44.829,2.517,-1.831,-999,-999,-999,44.829,"b"
104742,114.483,37.014,77.811,76.275,-999,-999,-999,2.251,5.061,143.464,0.809,1.34,-999,39.905,-0.2,-1.491,32.269,1.208,0.265,30.423,-0.998,260.255,1,71.291,-2.537,2.312,-999,-999,-999,71.291,"s"
104867,222.816,7.673,132.361,80.235,-999,-999,-999,3.757,2.224,150.881,2.073,1.221,-999,23.031,1.976,-1.512,47.749,-0.669,1.157,51.461,1.002,206.935,1,80.101,2.619,-2.244,-999,-999,-999,80.101,"b"
104883,115.515,84.299,78.793,1.516,-999,-999,-999,3.089,1.516,83.906,2.182,-1.117,-999,26.372,-1.98,1.444,57.534,-1.675,-1.63,30.88,1.521,64.772,0,-999,-999,-999,-999,-999,-999,0,"b"
104891,88.488,14.359,59.532,61.493,-999,-999,-999,2.027,26.763,142.298,1.506,1.325,-999,28.372,-2.123,3.131,42.738,-2.392,1.122,21.807,1.597,172.909,1,71.188,-1.955,-1.78,-999,-999,-999,71.188,"s"
104895,99.831,64.078,78.036,23.301,-999,-999,-999,3.01,23.301,74.07,1.142,-1.411,-999,34.581,-1.21,-1.528,39.49,-1.904,1.825,32.535,-0.386,106.851,0,-999,-999,-999,-999,-999,-999,0,"s"
104899,542.941,20.158,408.818,74.508,-999,-999,-999,5.306,23.058,190.436,3.069,-1.361,-999,25.231,-2.083,-1.429,77.442,2.343,1.927,24.135,1.457,230.409,1,87.763,1.822,-1.056,-999,-999,-999,87.763,"b"
104969,135.491,5.038,65.61,165.218,3.371,166.609,-0.877,1.723,103.006,131.938,1.438,0.51,0.637,28.17,-1.451,-1.297,40.494,0.269,-1.4,96.942,-1.48,270.558,2,31.688,-0.284,1.638,31.586,3.087,1.946,63.274,"s"
105197,128.943,6.788,92.647,29.105,-999,-999,-999,2.73,3.445,115.466,1.024,0.067,-999,41.967,0.154,1.317,42.979,1.166,-2.43,12.983,-2.142,117.577,1,30.52,1.357,-0.162,-999,-999,-999,30.52,"s"
105217,-999,70.484,54.085,7.602,-999,-999,-999,1.906,7.602,65.246,1.148,-1.414,-999,30.377,-1.953,2.497,34.869,-2.4,0.644,45.11,-1.544,116.767,0,-999,-999,-999,-999,-999,-999,0,"b"
105241,-999,66.251,91.987,0.469,-999,-999,-999,2.953,0.469,62.935,1.527,-1.382,-999,24.904,-0.187,-2.597,38.031,1.86,1.558,32.583,-0.893,51.267,0,-999,-999,-999,-999,-999,-999,0,"b"
105310,94.481,25.572,64.996,61.842,-999,-999,-999,2.231,25.238,110.43,1.777,-0.319,-999,25.984,-2.132,-2.779,46.176,-1.467,1.374,36.531,0.741,170.853,1,38.269,-1.727,-1.946,-999,-999,-999,38.269,"b"
105437,-999,204.651,205.758,131.768,1.864,256.15,1.464,2.928,24.045,420.47,0.841,-1.295,0.025,97.067,0.914,-0.946,81.617,-0.263,1.735,130.481,-1.667,576.66,3,156.131,0.595,1.773,48.009,2.46,-1.366,241.786,"b"
105446,121.481,50.048,82.646,44.957,-999,-999,-999,3.059,19.478,106.848,0.948,1.414,-999,38.218,-0.357,0.915,36.22,-1.314,-1.99,36.02,-0.459,126.592,1,32.411,-1.556,2.318,-999,-999,-999,32.411,"b"
105530,80.926,8.385,55.217,47.666,-999,-999,-999,2.049,1.801,111.024,0.904,1.281,-999,33.982,1.532,1.539,30.709,1.507,-2.696,16.954,-3.065,106.274,1,46.332,1.551,-0.445,-999,-999,-999,46.332,"b"
105593,70.613,50.442,53.256,68.481,2.695,260.123,-1.752,1.365,39.641,269.998,1.629,0.076,0.629,33.038,-1.246,-2.987,53.821,-1.171,1.933,14.99,-2.165,428.05,3,71.642,1.094,-0.983,64.755,-1.602,0.389,183.139,"b"
105601,137.277,21.013,103.811,2.856,-999,-999,-999,3.076,2.856,93.568,0.897,-1.408,-999,49.318,-0.248,-1.516,44.251,-1.204,1.843,11.496,0.874,154.288,0,-999,-999,-999,-999,-999,-999,0,"s"
105647,336.487,52.947,270.043,27.311,-999,-999,-999,4.712,3.877,92.468,1.869,-1.4,-999,21.362,-2.416,0.801,39.918,2.033,2.353,21.812,-1.703,114.097,1,31.187,1.658,-0.937,-999,-999,-999,31.187,"b"
105660,-999,73.989,47.69,2.353,-999,-999,-999,1.934,2.353,60.025,1.743,-1.36,-999,21.885,-0.719,2.631,38.14,-0.562,-1.725,39.027,0.841,138.647,0,-999,-999,-999,-999,-999,-999,0,"b"
105676,123.421,93.576,84.255,53.445,-999,-999,-999,3.045,18.723,126.127,2.336,1.413,-999,26.175,-0.934,-2.042,61.141,-0.266,1.27,51.159,-3.032,215.938,1,38.811,2.093,-0.841,-999,-999,-999,38.811,"b"
105740,110.771,21.904,77.031,19.427,-999,-999,-999,3.087,19.427,72.287,0.725,-1.406,-999,41.917,-1.139,0.51,30.371,-0.333,-2.794,32.046,-2.077,156.264,0,-999,-999,-999,-999,-999,-999,0,"s"
105788,176.488,61.547,149.817,15.203,-999,-999,-999,2.764,15.203,149.622,1.149,-1.414,-999,69.628,-1.769,-1.014,79.994,-1.328,2.541,17.749,0.629,217.152,0,-999,-999,-999,-999,-999,-999,0,"b"
105855,147.363,15.141,107.994,60.161,-999,-999,-999,3.075,1.315,172.673,1.976,-1.405,-999,38.116,-0.492,-1.994,75.329,-0.233,1.225,24.104,0.868,177.636,1,59.228,1.313,-1.993,-999,-999,-999,59.228,"s"
105909,114.731,28.592,76.451,65.277,-999,-999,-999,2.356,2.474,144.443,0.565,1.413,-999,49.98,0.952,-1.584,28.227,1.943,2.561,24.195,-2.564,143.15,1,66.237,0.855,0.854,-999,-999,-999,66.237,"b"
105950,120.482,32.731,94.95,0.855,-999,-999,-999,2.932,0.855,87.87,0.881,-1.411,-999,46.721,1.172,-0.277,41.149,2.041,-3.077,16.565,1.851,110.463,0,-999,-999,-999,-999,-999,-999,0,"s"
106079,117.891,0.4,74.111,115.841,6.874,2314.531,-11.13,1.829,1.955,233.723,1.068,0.968,1,34.484,-0.909,0.535,36.826,0.894,0.843,45.721,0.853,221.246,2,113.702,-2.611,-2.8,48.711,4.263,-1.038,162.413,"s"
106099,99.185,41.522,68.669,34.277,-999,-999,-999,2.973,2.647,101.959,0.609,0.98,-999,43.47,-1.299,-0.513,26.465,-0.936,2.82,16.43,-0.509,135.669,1,32.023,-2.576,2.441,-999,-999,-999,32.023,"b"
106117,95.931,12.245,56.769,77.04,2.04,142.511,-0.068,2.218,22.095,157.12,1.505,1.273,0.194,21.116,1.168,0.445,31.78,-0.32,2.09,40.891,1.748,260.411,2,74.03,2.006,-2.158,30.195,-0.034,0.037,104.225,"b"
106370,-999,106.015,32.594,31.05,-999,-999,-999,0.737,12.015,132.043,1.162,-1.151,-999,41.706,1.54,-0.237,48.46,1.283,0.454,58.11,-2.781,241.486,1,41.877,-1.825,2.703,-999,-999,-999,41.877,"b"
106414,-999,96.456,49.743,112.123,4.877,583.998,-5.933,1.743,28.709,159.67,1.785,0.137,0.805,20.322,-0.189,-2.747,36.268,1.255,2.559,98.462,-1.846,199.079,2,57.698,2.556,0.208,45.382,-2.321,1.187,103.08,"b"
106478,128.885,54.925,82.172,143.279,2.154,195.207,-0.693,1.556,12.088,266.434,0.712,1.29,0.955,67.464,0.357,1.22,48.029,0.915,2.673,56.906,1.567,274.693,2,102.543,-0.394,-1.069,48.397,1.76,-2.027,150.941,"s"
106486,-999,74.959,57.906,1.713,-999,-999,-999,2.221,1.713,66.79,1.887,-1.343,-999,23.137,0.228,1.189,43.653,-0.178,-2.91,34.499,-0.293,85.361,0,-999,-999,-999,-999,-999,-999,0,"b"
106552,99.306,39.248,68.036,0.86,-999,-999,-999,3.327,0.86,51.962,1.52,-1.375,-999,20.619,-0.491,3.105,31.342,-2.103,0.195,12.641,-2.611,37.201,0,-999,-999,-999,-999,-999,-999,0,"s"
106558,124.273,20.713,85.624,68.338,3.681,549.513,-3.245,2.894,2.623,264.832,2.23,1.387,0.954,28.417,0.401,0.741,63.367,0.778,-2.129,32.097,-1.665,268.979,2,99.451,-1.464,2.185,73.597,2.217,-0.166,173.048,"s"
106616,71.966,18.138,49.196,65.804,-999,-999,-999,1.726,1.674,132.733,1.429,1.386,-999,27.077,-1.125,3.077,38.687,-1.112,-1.48,22.148,-2.11,130.56,1,66.969,-1.983,1.03,-999,-999,-999,66.969,"b"
106691,152.271,59.823,115.48,48.142,-999,-999,-999,2.597,21.153,166.206,0.686,-1.027,-999,71.746,-1.795,-0.495,49.222,-2.079,2.086,18.178,-1.071,140.278,1,45.238,-0.909,-2.839,-999,-999,-999,45.238,"s"
106781,77.078,37.808,56.281,0.663,-999,-999,-999,2.867,0.663,55.822,1.366,-1.394,-999,23.593,-1.939,-0.491,32.229,-1.428,2.971,12.132,0.425,36.413,0,-999,-999,-999,-999,-999,-999,0,"b"
